# Physiological Plant Ecology  I, Springer, DOI: 10.1007/978-3-642-68090-8
Wavelength	Chlorophyll a	Chlorophyll b
380.2	--	--
380.4	--	--
380.6	--	--
380.8	--	--
380.9	--	--
381.1	--	--
381.3	--	--
381.5	--	--
381.7	--	--
381.9	--	--
382.1	--	--
382.3	--	--
382.4	--	--
382.6	--	--
382.8	--	--
383	--	--
383.2	--	--
383.4	--	--
383.6	0.3017	--
383.8	0.30192	--
384	0.30222	--
384.1	0.30259	--
384.3	0.30304	--
384.5	0.30357	--
384.7	0.30417	--
384.9	0.30484	--
385.1	0.30559	--
385.3	0.30641	--
385.5	0.30731	--
385.6	0.30828	--
385.8	0.30933	--
386	0.31061	--
386.2	0.312	--
386.4	0.31325	--
386.6	0.31461	--
386.8	0.316	--
387	0.31722	--
387.2	0.31871	--
387.3	0.32027	--
387.5	0.32185	--
387.7	0.32324	--
387.9	0.32471	--
388.1	0.32621	--
388.3	0.32767	--
388.5	0.32889	--
388.7	0.33007	--
388.8	0.33129	--
389	0.33243	--
389.2	0.33369	--
389.4	0.33496	--
389.6	0.33618	--
389.8	0.3375	--
390	0.33891	--
390.2	0.34035	--
390.4	0.34181	--
390.5	0.3434	--
390.7	0.34503	--
390.9	0.34653	--
391.1	0.34807	--
391.3	0.34967	--
391.5	0.35126	--
391.7	0.35284	--
391.9	0.3545	--
392	0.35616	--
392.2	0.35761	--
392.4	0.35923	--
392.6	0.36091	--
392.8	0.36257	--
393	0.36373	--
393.2	0.36522	--
393.4	0.36674	--
393.6	0.36803	--
393.7	0.36958	--
393.9	0.37126	--
394.1	0.373	--
394.3	0.37468	--
394.5	0.37664	--
394.7	0.37867	--
394.9	0.38053	--
395.1	0.38238	--
395.2	0.38438	--
395.4	0.38642	--
395.6	0.38826	--
395.8	0.39045	--
396	0.39272	--
396.2	0.39486	--
396.4	0.39694	--
396.6	0.39911	--
396.8	0.40128	--
396.9	0.40314	--
397.1	0.40516	--
397.3	0.40725	--
397.5	0.40923	--
397.7	0.4115	--
397.9	0.41386	--
398.1	0.41622	--
398.3	0.41843	--
398.4	0.4209	--
398.6	0.42342	--
398.8	0.42591	--
399	0.42835	--
399.2	0.43079	--
399.4	0.43311	--
399.6	0.43529	--
399.8	0.43757	--
400	0.4398	--
400.1	0.44188	--
400.3	0.44397	--
400.5	0.44598	--
400.7	0.44782	--
400.9	0.44945	--
401.1	0.45129	--
401.3	0.45296	--
401.5	0.45437	--
401.6	0.45602	--
401.8	0.45764	--
402	0.45905	--
402.2	0.4603	--
402.4	0.46158	--
402.6	0.46263	--
402.8	0.4634	--
403	0.46434	--
403.2	0.46518	--
403.3	0.4658	--
403.5	0.46624	--
403.7	0.4669	--
403.9	0.46725	--
404.1	0.46728	--
404.3	0.46734	--
404.5	0.46729	--
404.7	0.46696	--
404.8	0.46637	--
405	0.46601	--
405.2	0.46542	--
405.4	0.46461	--
405.6	0.46389	--
405.8	0.463	--
406	0.46198	--
406.2	0.46089	--
406.4	0.45968	--
406.5	0.45844	--
406.7	0.4572	--
406.9	0.456	--
407.1	0.45485	--
407.3	0.45379	--
407.5	0.45283	--
407.7	0.45196	--
407.9	0.45127	--
408	0.45078	--
408.2	0.45033	--
408.4	0.44986	--
408.6	0.44958	--
408.8	0.44942	--
409	0.44912	--
409.2	0.44905	0.16212
409.4	0.44921	0.16303
409.6	0.44941	0.16396
409.7	0.44962	0.16491
409.9	0.45005	0.16588
410.1	0.45058	0.16688
410.3	0.45095	0.1679
410.5	0.45155	0.16894
410.7	0.45236	0.17
410.9	0.4531	0.17109
411.1	0.45406	0.17219
411.2	0.45521	0.17332
411.4	0.45652	0.17447
411.6	0.45751	0.17554
411.8	0.45875	0.17675
412	0.46016	0.178
412.2	0.4615	0.17928
412.4	0.46283	0.18064
412.6	0.46436	0.18206
412.8	0.46601	0.18347
412.9	0.46743	0.18462
413.1	0.46908	0.18589
413.3	0.47086	0.18722
413.5	0.47255	0.18861
413.7	0.47437	0.19012
413.9	0.47641	0.19172
414.1	0.47857	0.19334
414.3	0.48057	0.19474
414.4	0.48283	0.19634
414.6	0.48521	0.19799
414.8	0.48758	0.19977
415	0.49007	0.20133
415.2	0.49273	0.2029
415.4	0.49543	0.20439
415.6	0.49788	0.20563
415.8	0.50052	0.20722
416	0.50321	0.20888
416.1	0.5057	0.21051
416.3	0.50816	0.21219
416.5	0.51079	0.21393
416.7	0.51346	0.21567
416.9	0.51573	0.21701
417.1	0.51836	0.21861
417.3	0.52116	0.22026
417.5	0.5238	0.22177
417.6	0.52669	0.22361
417.8	0.52979	0.2256
418	0.53295	0.22766
418.2	0.53591	0.22934
418.4	0.53931	0.23133
418.6	0.54286	0.23341
418.8	0.54637	0.23546
419	0.54973	0.23751
419.2	0.55333	0.23972
419.3	0.557	0.242
419.5	0.56044	0.24398
419.7	0.5642	0.24626
419.9	0.56801	0.24855
420.1	0.57167	0.2507
420.3	0.5751	0.2529
420.5	0.57867	0.25523
420.7	0.58221	0.2576
420.8	0.58528	0.25951
421	0.58867	0.26168
421.2	0.59216	0.26392
421.4	0.59557	0.26609
421.6	0.59902	0.26841
421.8	0.60279	0.27089
422	0.60659	0.27342
422.2	0.61035	0.27584
422.4	0.61441	0.27835
422.5	0.61844	0.28091
422.7	0.62225	0.28342
422.9	0.62612	0.28585
423.1	0.62997	0.28846
423.3	0.63364	0.2911
423.5	0.63681	0.29358
423.7	0.64043	0.2963
423.9	0.64388	0.29906
424	0.64701	0.30174
424.2	0.65005	0.30405
424.4	0.65297	0.30653
424.6	0.65556	0.30901
424.8	0.6576	0.31126
425	0.65996	0.31359
425.2	0.66211	0.31607
425.4	0.66392	0.31857
425.6	0.66593	0.32114
425.7	0.66804	0.32402
425.9	0.66987	0.32697
426.1	0.67133	0.32971
426.3	0.67326	0.33282
426.5	0.67496	0.33599
426.7	0.67638	0.33907
426.9	0.67779	0.34191
427.1	0.67905	0.34497
427.2	0.68002	0.34796
427.4	0.68074	0.35067
427.6	0.68174	0.35377
427.8	0.68243	0.35677
428	0.68277	0.35955
428.2	0.68333	0.36197
428.4	0.6837	0.3644
428.6	0.68364	0.36655
428.8	0.68339	0.36829
428.9	0.68364	0.37044
429.1	0.68326	0.37233
429.3	0.68231	0.37385
429.5	0.68173	0.37526
429.7	0.68075	0.37685
429.9	0.67914	0.37815
430.1	0.67719	0.37911
430.3	0.6753	0.38042
430.4	0.67266	0.38143
